identifier,type,research_areas,creation_mode,completeness,number_of_resources,numer_of_views,number_of_downloads
6b56ef47-1f8f-4cc4-9c17-210751c5c1b8,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,11
dca2ea21-de71-45d7-b9c7-3e9f767d69d9,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,11
b9bacbe6-2c31-478b-80f1-e890df8e6073,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,8
6387be4d-7a50-47bf-b5f4-805a1a892366,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,10
58805205-aac6-4b6a-9f0e-247321607d7f,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,10
8cb86c80-05e5-428b-907c-ab4a35167b13,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,9
9f2e8753-6403-46ec-b8a5-25807b1ff577,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,11
6718a33f-495e-45e4-91a4-a63eab48413f,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,12
73f5c4ff-8f72-4fdc-a216-68b9dee2651f,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,12
807064a4-78ce-4470-943f-cdb80e81edad,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,10
22c2ec76-3605-4651-a172-c26ab670e0fc,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,8
1e67c8ba-3dd5-491a-9e7d-6908b496e97b,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,8
ab10ee6b-29a8-42ec-bdd9-0de0cde53a70,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,11
6867ef0f-e4dc-434d-882b-f72bd27ea17c,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,11
69a7c5a9-89bf-4f51-9760-eeed2f57dacc,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,7
40210d2c-300d-4483-a0ea-14a93bdc1019,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,12
99526ae5-29e7-4fee-a6c8-171ad411537a,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,7
89e91b03-b381-40c2-b976-8b0908b8538f,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,11
c8e865ed-ff79-4f4a-b70e-39474ac9b5a4,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,12
2e97b650-aeae-4f2a-a84a-ac31a52db11e,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,12
928fa8db-9359-4ef0-8792-35e45eba12c7,Bibliography-centric Research Object,['Earth sciences'],AUTOMATIC,69,3,1,11
